,UserId,ProductId,Rating,TimeStamp
5688,A12DLJESJKM1OQ,B00000JXV3,4,1-May-15
5689,A12DLJESJKM1OQ,B00004SD8X,5,17-Dec-85
5690,A12DLJESJKM1OQ,B00005ABEH,3,29-Jan-84
5691,A12DLJESJKM1OQ,B00005B9A0,5,18-May-01
5692,A12DLJESJKM1OQ,B00005N6KF,2,13-Apr-08
5693,A12DLJESJKM1OQ,B0000634T4,4,11-Dec-17
5694,A12DLJESJKM1OQ,B0000658BE,5,10-Sep-65
5695,A12DLJESJKM1OQ,B000065UVY,5,10-Aug-16
5696,A12DLJESJKM1OQ,B000065UWB,5,6-Apr-85
5697,A12DLJESJKM1OQ,B000067VKY,5,22-Mar-27
5698,A12DLJESJKM1OQ,B000068U1L,4,24-Jan-58
5699,A12DLJESJKM1OQ,B000069FL3,2,4-Jan-89
5700,A12DLJESJKM1OQ,B00006F2MW,4,9-Jun-93
5701,A12DLJESJKM1OQ,B00006FMPE,5,28-Feb-07
5702,A12DLJESJKM1OQ,B00006FXHQ,3,11-Aug-73
5703,A12DLJESJKM1OQ,B00006HXRA,4,13-Nov-80
5704,A12DLJESJKM1OQ,B00006HYMK,1,23-Apr-28
5705,A12DLJESJKM1OQ,B00006I5JQ,5,10-Dec-11
5706,A12DLJESJKM1OQ,B00006IIU1,4,20-Nov-49
5707,A12DLJESJKM1OQ,B00006IIU3,5,19-Sep-10
5708,A12DLJESJKM1OQ,B00006IRUL,5,30-Jan-80
5709,A12DLJESJKM1OQ,B00006IUSY,3,27-Apr-23
5710,A12DLJESJKM1OQ,B00006JLOT,5,23-Sep-08
5711,A12DLJESJKM1OQ,B00006JQEJ,4,6-Nov-13
5712,A12DLJESJKM1OQ,B00006L9CT,5,1-Nov-38
5713,A12DLJESJKM1OQ,B00006LS92,5,16-Apr-96
5714,A12DLJESJKM1OQ,B00006RSJ1,5,1-Sep-41
5715,A12DLJESJKM1OQ,B000075AEV,4,20-Sep-91
5716,A12DLJESJKM1OQ,B00007MEHB,5,24-Aug-64
5717,A12DLJESJKM1OQ,B000087BWL,5,15-Feb-66
5718,A12DLJESJKM1OQ,B000087BX8,5,29-Nov-12
5719,A12DLJESJKM1OQ,B000087BXC,4,6-Oct-21
5720,A12DLJESJKM1OQ,B000087KY8,5,26-Aug-74
5721,A12DLJESJKM1OQ,B000087L74,5,9-Aug-26
5722,A12DLJESJKM1OQ,B000087LIG,5,19-Jan-08
5723,A12DLJESJKM1OQ,B000087LII,5,20-Oct-00
5724,A12DLJESJKM1OQ,B000088USR,4,18-Mar-67
5725,A12DLJESJKM1OQ,B000088USW,3,17-Mar-51
5726,A12DLJESJKM1OQ,B0000899R7,2,10-Aug-97
5727,A12DLJESJKM1OQ,B00008GK6Y,5,4-Sep-30
5728,A12DLJESJKM1OQ,B00008IOEJ,4,31-Dec-35
5729,A12DLJESJKM1OQ,B00008J639,5,19-Sep-16
5730,A12DLJESJKM1OQ,B00008J6VW,5,13-Sep-41
5731,A12DLJESJKM1OQ,B00008K4BD,5,15-Feb-17
5732,A12DLJESJKM1OQ,B00008L3HY,5,15-Aug-97
5733,A12DLJESJKM1OQ,B00008N6VM,5,17-Jan-72
5734,A12DLJESJKM1OQ,B00008NE00,4,18-Jan-45
5735,A12DLJESJKM1OQ,B00008OE5G,5,2-Feb-03
5736,A12DLJESJKM1OQ,B00008OE5I,5,23-Feb-26
5737,A12DLJESJKM1OQ,B00008OE6I,5,3-Sep-55
5738,A12DLJESJKM1OQ,B00008RHA3,5,23-Dec-91
5739,A12DLJESJKM1OQ,B00008W7LK,5,20-Feb-37
5740,A12DLJESJKM1OQ,B00008W7LL,5,7-Oct-01
5741,A12DLJESJKM1OQ,B000093UQS,3,17-Aug-81
5742,A12DLJESJKM1OQ,B0000DBJJT,5,14-Sep-39
5743,A12DLJESJKM1OQ,B0001CKGO2,3,24-Feb-75
5744,A12DLJESJKM1OQ,B0002OD3JY,4,3-Apr-02
5745,A12DLJESJKM1OQ,B0002SQEWS,5,24-May-14
5746,A12DLJESJKM1OQ,B0007M3PIU,5,18-Jul-14
5747,A12DLJESJKM1OQ,B0007RALGO,5,19-Apr-60
5748,A12DLJESJKM1OQ,B00092RTXK,5,2-May-03
5749,A12DLJESJKM1OQ,B0009V140K,5,20-Mar-71
5750,A12DLJESJKM1OQ,B000A7B9XK,5,15-Sep-71
5751,A12DLJESJKM1OQ,B000AYGDWU,4,28-Feb-95
